producer_price_index_item,month_of_forecast,year_of_forecast,year_being_forecast,attribute,forecast_percent_change
Farm-level cattle,July,2002,2003,Upper bound of prediction interval,18.8
Farm-level cattle,August,2002,2003,Lower bound of prediction interval,-22.2
Farm-level cattle,August,2002,2003,Mid point of prediction interval,-4.5
Farm-level cattle,August,2002,2003,Upper bound of prediction interval,16.4
Farm-level cattle,September,2002,2003,Lower bound of prediction interval,-21.4
Farm-level cattle,September,2002,2003,Mid point of prediction interval,-4.9
Farm-level milk,September,2002,2003,Upper bound of prediction interval,26.2
Farm-level cattle,October,2002,2003,Lower bound of prediction interval,-19.4
Farm-level cattle,October,2002,2003,Mid point of prediction interval,-3.7
Farm-level cattle,October,2002,2003,Upper bound of prediction interval,14.8
Wholesale poultry,October,2002,2003,Upper bound of prediction interval,7.9
Farm-level cattle,November,2002,2003,Lower bound of prediction interval,-17.3
Farm-level cattle,November,2002,2003,Upper bound of prediction interval,14.7
Farm-level cattle,December,2002,2003,Lower bound of prediction interval,-12.6
Farm-level cattle,December,2002,2003,Mid point of prediction interval,1.6
Farm-level cattle,December,2002,2003,Upper bound of prediction interval,18.2
Farm-level fruits,November,2002,2003,Upper bound of prediction interval,34.9
Farm-level fruits,December,2002,2003,Lower bound of prediction interval,-26.2
Farm-level fruits,December,2002,2003,Mid point of prediction interval,-4.7
Farm-level fruits,December,2002,2003,Upper bound of prediction interval,22.8
Farm-level wheat,July,2002,2003,Mid point of prediction interval,-0.7
Farm-level wheat,July,2002,2003,Lower bound of prediction interval,-29.2
Wholesale dairy,October,2002,2003,Mid point of prediction interval,-1.0
Wholesale dairy,October,2002,2003,Lower bound of prediction interval,-14.2
Wholesale dairy,September,2002,2003,Upper bound of prediction interval,16.1
Farm-level cattle,November,2002,2003,Mid point of prediction interval,-2.6
Wholesale poultry,October,2002,2003,Mid point of prediction interval,1.7
Wholesale poultry,October,2002,2003,Lower bound of prediction interval,-4.1
Wholesale poultry,September,2002,2003,Upper bound of prediction interval,8.0
Wholesale pork,September,2002,2003,Lower bound of prediction interval,-16.4
Wholesale pork,September,2002,2003,Mid point of prediction interval,-2.2
Wholesale pork,September,2002,2003,Upper bound of prediction interval,15.1
Wholesale pork,October,2002,2003,Lower bound of prediction interval,-17.3
Wholesale pork,October,2002,2003,Mid point of prediction interval,-3.9
Wholesale pork,October,2002,2003,Upper bound of prediction interval,11.7
Wholesale pork,November,2002,2003,Lower bound of prediction interval,-15.8
Wholesale pork,November,2002,2003,Mid point of prediction interval,-2.8
Wholesale pork,November,2002,2003,Upper bound of prediction interval,12.5
Wholesale pork,December,2002,2003,Lower bound of prediction interval,-14.4
Wholesale pork,December,2002,2003,Mid point of prediction interval,-1.8
Wholesale pork,December,2002,2003,Upper bound of prediction interval,12.7
Farm-level milk,July,2002,2003,Lower bound of prediction interval,-25.6
Wholesale pork,August,2002,2003,Upper bound of prediction interval,18.6
Farm-level milk,July,2002,2003,Mid point of prediction interval,-2.7
Farm-level milk,August,2002,2003,Lower bound of prediction interval,-28.6
Farm-level milk,August,2002,2003,Mid point of prediction interval,-7.2
Farm-level milk,August,2002,2003,Upper bound of prediction interval,21.2
Farm-level milk,September,2002,2003,Lower bound of prediction interval,-23.2
Farm-level milk,December,2002,2003,Upper bound of prediction interval,14.0
Farm-level milk,December,2002,2003,Mid point of prediction interval,-6.8
Farm-level milk,December,2002,2003,Lower bound of prediction interval,-23.9
Farm-level milk,November,2002,2003,Upper bound of prediction interval,25.2
Farm-level milk,November,2002,2003,Mid point of prediction interval,0.7
Farm-level milk,November,2002,2003,Lower bound of prediction interval,-19.3
Farm-level milk,October,2002,2003,Upper bound of prediction interval,26.2
Farm-level milk,October,2002,2003,Mid point of prediction interval,-0.3
Farm-level milk,October,2002,2003,Lower bound of prediction interval,-21.2
Farm-level milk,July,2002,2003,Upper bound of prediction interval,28.1
Wholesale dairy,October,2002,2003,Upper bound of prediction interval,14.3
Wholesale pork,August,2002,2003,Mid point of prediction interval,0.6
Wholesale pork,July,2002,2003,Upper bound of prediction interval,14.3
Wholesale poultry,September,2002,2003,Mid point of prediction interval,0.6
Wholesale poultry,September,2002,2003,Lower bound of prediction interval,-6.4
Wholesale poultry,August,2002,2003,Upper bound of prediction interval,9.0
Wholesale poultry,August,2002,2003,Mid point of prediction interval,1.1
Wholesale poultry,August,2002,2003,Lower bound of prediction interval,-6.1
Wholesale poultry,July,2002,2003,Upper bound of prediction interval,7.9
Wholesale poultry,July,2002,2003,Mid point of prediction interval,0.3
Wholesale poultry,July,2002,2003,Lower bound of prediction interval,-7.0
Farm-level vegetables,July,2002,2003,Lower bound of prediction interval,-24.3
Farm-level vegetables,July,2002,2003,Mid point of prediction interval,-6.4
Farm-level vegetables,July,2002,2003,Upper bound of prediction interval,15.7
Farm-level vegetables,August,2002,2003,Lower bound of prediction interval,-23.6
Farm-level vegetables,August,2002,2003,Mid point of prediction interval,-5.6
Wholesale pork,August,2002,2003,Lower bound of prediction interval,-14.5
Farm-level vegetables,August,2002,2003,Upper bound of prediction interval,16.4
Farm-level vegetables,September,2002,2003,Mid point of prediction interval,-6.3
Farm-level vegetables,September,2002,2003,Upper bound of prediction interval,15.0
Farm-level vegetables,October,2002,2003,Lower bound of prediction interval,-24.1
Farm-level vegetables,October,2002,2003,Mid point of prediction interval,-8.0
Farm-level vegetables,October,2002,2003,Upper bound of prediction interval,12.6
Farm-level vegetables,November,2002,2003,Lower bound of prediction interval,-23.6
Farm-level vegetables,November,2002,2003,Mid point of prediction interval,-7.3
Farm-level vegetables,November,2002,2003,Upper bound of prediction interval,12.5
Farm-level vegetables,December,2002,2003,Lower bound of prediction interval,-22.2
Farm-level vegetables,December,2002,2003,Mid point of prediction interval,-6.3
Farm-level vegetables,December,2002,2003,Upper bound of prediction interval,13.3
Wholesale pork,July,2002,2003,Lower bound of prediction interval,-18.1
Wholesale pork,July,2002,2003,Mid point of prediction interval,-3.2
Farm-level vegetables,September,2002,2003,Lower bound of prediction interval,-23.4
Wholesale dairy,November,2002,2003,Lower bound of prediction interval,-10.4
Farm-level cattle,September,2002,2003,Upper bound of prediction interval,14.9
Wholesale dairy,November,2002,2003,Upper bound of prediction interval,15.1
Wholesale fats and oils,August,2002,2003,Upper bound of prediction interval,22.5
Wholesale fats and oils,September,2002,2003,Lower bound of prediction interval,-8.1
Wholesale fats and oils,September,2002,2003,Mid point of prediction interval,7.4
Wholesale fats and oils,September,2002,2003,Upper bound of prediction interval,25.4
Wholesale fats and oils,October,2002,2003,Lower bound of prediction interval,-8.4
Wholesale fats and oils,October,2002,2003,Mid point of prediction interval,6.0
Wholesale fats and oils,October,2002,2003,Upper bound of prediction interval,23.0
Wholesale fats and oils,November,2002,2003,Lower bound of prediction interval,-4.2
Farm-level soybeans,December,2002,2003,Upper bound of prediction interval,38.8
Farm-level soybeans,December,2002,2003,Mid point of prediction interval,9.1
Farm-level soybeans,December,2002,2003,Lower bound of prediction interval,-14.4
Farm-level soybeans,November,2002,2003,Upper bound of prediction interval,38.1
Farm-level soybeans,November,2002,2003,Mid point of prediction interval,5.7
Farm-level soybeans,November,2002,2003,Lower bound of prediction interval,-18.2
Wholesale fats and oils,August,2002,2003,Mid point of prediction interval,4.1
Farm-level soybeans,October,2002,2003,Upper bound of prediction interval,48.8
Farm-level soybeans,October,2002,2003,Lower bound of prediction interval,-15.9
Farm-level soybeans,September,2002,2003,Upper bound of prediction interval,54.6
Farm-level soybeans,September,2002,2003,Mid point of prediction interval,14.4
Farm-level soybeans,September,2002,2003,Lower bound of prediction interval,-14.9
Farm-level soybeans,August,2002,2003,Upper bound of prediction interval,57.8
Farm-level soybeans,August,2002,2003,Mid point of prediction interval,14.9
Farm-level soybeans,August,2002,2003,Lower bound of prediction interval,-16.5
Farm-level soybeans,July,2002,2003,Upper bound of prediction interval,36.6
Wholesale dairy,November,2002,2003,Mid point of prediction interval,1.5
Farm-level soybeans,July,2002,2003,Lower bound of prediction interval,-29.1
Wholesale fats and oils,November,2002,2003,Mid point of prediction interval,9.6
Wholesale fats and oils,November,2002,2003,Upper bound of prediction interval,25.6
Wholesale fats and oils,December,2002,2003,Lower bound of prediction interval,2.5
Wholesale fats and oils,December,2002,2003,Mid point of prediction interval,15.8
Farm-level soybeans,October,2002,2003,Mid point of prediction interval,11.0
Wholesale fats and oils,December,2002,2003,Upper bound of prediction interval,31.4
Wholesale wheat flour,December,2002,2003,Upper bound of prediction interval,20.4
Wholesale wheat flour,December,2002,2003,Lower bound of prediction interval,-8.4
Farm-level eggs,October,2002,2003,Mid point of prediction interval,4.7
Farm-level eggs,October,2002,2003,Lower bound of prediction interval,-32.1
Farm-level eggs,September,2002,2003,Upper bound of prediction interval,72.9
Farm-level eggs,September,2002,2003,Mid point of prediction interval,6.7
Farm-level eggs,September,2002,2003,Lower bound of prediction interval,-33.3
Farm-level eggs,August,2002,2003,Upper bound of prediction interval,67.2
Farm-level eggs,August,2002,2003,Mid point of prediction interval,1.3
Farm-level eggs,August,2002,2003,Lower bound of prediction interval,-39.0
Farm-level eggs,July,2002,2003,Upper bound of prediction interval,62.4
Farm-level eggs,July,2002,2003,Mid point of prediction interval,-4.2
Farm-level eggs,July,2002,2003,Lower bound of prediction interval,-43.5
Wholesale fats and oils,July,2002,2003,Lower bound of prediction interval,-13.1
Wholesale fats and oils,July,2002,2003,Mid point of prediction interval,2.7
Wholesale fats and oils,July,2002,2003,Upper bound of prediction interval,21.6
Wholesale wheat flour,December,2002,2003,Mid point of prediction interval,5.2
Wholesale fats and oils,August,2002,2003,Lower bound of prediction interval,-11.6
Wholesale wheat flour,July,2002,2003,Mid point of prediction interval,1.5
Wholesale wheat flour,July,2002,2003,Upper bound of prediction interval,23.0
Wholesale wheat flour,August,2002,2003,Lower bound of prediction interval,-14.6
Wholesale wheat flour,August,2002,2003,Mid point of prediction interval,2.0
Wholesale wheat flour,August,2002,2003,Upper bound of prediction interval,21.9
Wholesale wheat flour,September,2002,2003,Lower bound of prediction interval,-15.4
Wholesale wheat flour,September,2002,2003,Mid point of prediction interval,0.2
Wholesale wheat flour,September,2002,2003,Upper bound of prediction interval,19.4
Wholesale wheat flour,October,2002,2003,Lower bound of prediction interval,-8.9
Wholesale wheat flour,October,2002,2003,Mid point of prediction interval,7.3
Wholesale wheat flour,October,2002,2003,Upper bound of prediction interval,26.0
Wholesale wheat flour,November,2002,2003,Lower bound of prediction interval,-8.1
Wholesale wheat flour,November,2002,2003,Mid point of prediction interval,6.9
Wholesale wheat flour,November,2002,2003,Upper bound of prediction interval,24.2
Wholesale wheat flour,July,2002,2003,Lower bound of prediction interval,-16.1
Farm-level eggs,October,2002,2003,Upper bound of prediction interval,64.3
Farm-level soybeans,July,2002,2003,Mid point of prediction interval,-2.4
Farm-level eggs,November,2002,2003,Mid point of prediction interval,-1.6
Farm-level wheat,October,2002,2003,Upper bound of prediction interval,67.3
Farm-level wheat,October,2002,2003,Mid point of prediction interval,22.9
Farm-level wheat,October,2002,2003,Lower bound of prediction interval,-8.6
Farm-level wheat,September,2002,2003,Upper bound of prediction interval,54.2
Farm-level wheat,September,2002,2003,Mid point of prediction interval,12.5
Farm-level wheat,September,2002,2003,Lower bound of prediction interval,-17.0
Farm-level wheat,August,2002,2003,Upper bound of prediction interval,49.1
Farm-level wheat,August,2002,2003,Mid point of prediction interval,7.9
Farm-level wheat,August,2002,2003,Lower bound of prediction interval,-21.8
Farm-level wheat,July,2002,2003,Upper bound of prediction interval,38.6
Farm-level fruits,July,2002,2003,Lower bound of prediction interval,-32.3
Farm-level fruits,July,2002,2003,Mid point of prediction interval,-3.8
Farm-level eggs,November,2002,2003,Lower bound of prediction interval,-35.3
Farm-level fruits,July,2002,2003,Upper bound of prediction interval,37.7
Farm-level fruits,August,2002,2003,Mid point of prediction interval,-2.1
Farm-level fruits,August,2002,2003,Upper bound of prediction interval,37.6
Farm-level fruits,September,2002,2003,Lower bound of prediction interval,-28.5
Farm-level fruits,September,2002,2003,Mid point of prediction interval,-1.6
Farm-level fruits,September,2002,2003,Upper bound of prediction interval,35.6
Farm-level fruits,October,2002,2003,Lower bound of prediction interval,-25.9
Farm-level fruits,October,2002,2003,Mid point of prediction interval,-0.2
Farm-level fruits,October,2002,2003,Upper bound of prediction interval,34.5
Farm-level fruits,November,2002,2003,Lower bound of prediction interval,-23.1
Wholesale dairy,December,2002,2003,Upper bound of prediction interval,8.7
Wholesale dairy,December,2002,2003,Mid point of prediction interval,-3.1
Wholesale dairy,December,2002,2003,Lower bound of prediction interval,-13.4
Farm-level fruits,August,2002,2003,Lower bound of prediction interval,-29.8
Farm-level wheat,November,2002,2003,Lower bound of prediction interval,-5.4
Farm-level milk,September,2002,2003,Mid point of prediction interval,-2.0
Farm-level eggs,December,2002,2003,Lower bound of prediction interval,-21.9
Farm-level wheat,December,2002,2003,Lower bound of prediction interval,-14.2
Farm-level eggs,December,2002,2003,Upper bound of prediction interval,68.8
Farm-level wheat,November,2002,2003,Upper bound of prediction interval,65.2
Farm-level eggs,December,2002,2003,Mid point of prediction interval,14.3
Farm-level wheat,December,2002,2003,Mid point of prediction interval,11.1
Farm-level eggs,November,2002,2003,Upper bound of prediction interval,52.0
Farm-level wheat,December,2002,2003,Upper bound of prediction interval,44.3
Farm-level wheat,November,2002,2003,Mid point of prediction interval,24.8
Farm-level vegetables,May,2003,2003,Mid point of prediction interval,-2.2
Farm-level vegetables,May,2003,2003,Upper bound of prediction interval,13.3
Farm-level vegetables,June,2003,2003,Lower bound of prediction interval,-12.5
Farm-level wheat,March,2003,2003,Lower bound of prediction interval,-12.6
Farm-level wheat,March,2003,2003,Upper bound of prediction interval,26.6
Farm-level wheat,April,2003,2003,Lower bound of prediction interval,-14.7
Farm-level wheat,March,2003,2003,Mid point of prediction interval,4.5
Farm-level vegetables,September,2003,2003,Mid point of prediction interval,-4.0
Farm-level wheat,May,2003,2003,Mid point of prediction interval,-3.1
Wholesale wheat flour,December,2003,2004,Mid point of prediction interval,0.6
Wholesale wheat flour,December,2003,2004,Upper bound of prediction interval,15.4
Wholesale wheat flour,December,2003,2004,Lower bound of prediction interval,-12.5
Wholesale wheat flour,November,2003,2004,Upper bound of prediction interval,13.0
Wholesale wheat flour,November,2003,2004,Mid point of prediction interval,-2.9
Wholesale wheat flour,November,2003,2004,Lower bound of prediction interval,-16.6
Wholesale wheat flour,October,2003,2004,Upper bound of prediction interval,18.4
Wholesale wheat flour,October,2003,2004,Mid point of prediction interval,0.7
Farm-level wheat,April,2003,2003,Mid point of prediction interval,-0.7
Farm-level wheat,February,2003,2003,Upper bound of prediction interval,26.0
Farm-level vegetables,August,2003,2003,Upper bound of prediction interval,6.4
Farm-level vegetables,August,2003,2003,Mid point of prediction interval,-4.0
Farm-level vegetables,September,2003,2003,Upper bound of prediction interval,5.0
Farm-level vegetables,October,2003,2003,Lower bound of prediction interval,-7.5
Farm-level vegetables,October,2003,2003,Mid point of prediction interval,-1.8
Farm-level vegetables,October,2003,2003,Upper bound of prediction interval,5.7
Farm-level vegetables,November,2003,2003,Lower bound of prediction interval,-6.0
Farm-level vegetables,November,2003,2003,Mid point of prediction interval,-2.0
Farm-level vegetables,November,2003,2003,Upper bound of prediction interval,3.2
Farm-level vegetables,December,2003,2003,Lower bound of prediction interval,-4.3
Farm-level vegetables,December,2003,2003,Mid point of prediction interval,-2.2
Farm-level vegetables,August,2003,2003,Lower bound of prediction interval,-12.3
Farm-level vegetables,June,2003,2003,Upper bound of prediction interval,12.8
Farm-level vegetables,December,2003,2003,Upper bound of prediction interval,0.4
Farm-level wheat,January,2003,2003,Lower bound of prediction interval,-17.5
Farm-level wheat,January,2003,2003,Mid point of prediction interval,8.4
Farm-level vegetables,July,2003,2003,Mid point of prediction interval,-3.2
Farm-level vegetables,July,2003,2003,Upper bound of prediction interval,9.1
Farm-level wheat,January,2003,2003,Upper bound of prediction interval,43.2
Farm-level wheat,February,2003,2003,Lower bound of prediction interval,-22.8
Farm-level wheat,February,2003,2003,Mid point of prediction interval,-1.7
Farm-level vegetables,September,2003,2003,Lower bound of prediction interval,-11.0
Farm-level vegetables,June,2003,2003,Mid point of prediction interval,-1.3
Farm-level vegetables,July,2003,2003,Lower bound of prediction interval,-12.9
Farm-level soybeans,July,2003,2004,Mid point of prediction interval,-4.2
Farm-level vegetables,April,2003,2003,Upper bound of prediction interval,12.3
Wholesale fats and oils,April,2003,2003,Lower bound of prediction interval,10.8
Wholesale fats and oils,April,2003,2003,Mid point of prediction interval,20.4
Wholesale fats and oils,April,2003,2003,Upper bound of prediction interval,31.6
Wholesale fats and oils,May,2003,2003,Lower bound of prediction interval,16.1
Wholesale fats and oils,May,2003,2003,Mid point of prediction interval,23.7
Wholesale fats and oils,May,2003,2003,Upper bound of prediction interval,32.1
Wholesale fats and oils,June,2003,2003,Lower bound of prediction interval,17.7
Wholesale fats and oils,June,2003,2003,Mid point of prediction interval,25.0
Wholesale fats and oils,June,2003,2003,Upper bound of prediction interval,33.1
Wholesale fats and oils,July,2003,2003,Lower bound of prediction interval,23.4
Wholesale fats and oils,March,2003,2003,Upper bound of prediction interval,38.0
Wholesale fats and oils,July,2003,2003,Mid point of prediction interval,29.8
Wholesale fats and oils,August,2003,2003,Lower bound of prediction interval,22.9
Wholesale fats and oils,August,2003,2003,Mid point of prediction interval,27.2
Wholesale fats and oils,August,2003,2003,Upper bound of prediction interval,31.7
Wholesale fats and oils,September,2003,2003,Lower bound of prediction interval,24.0
Wholesale fats and oils,September,2003,2003,Mid point of prediction interval,27.2
Wholesale fats and oils,September,2003,2003,Upper bound of prediction interval,30.6
Wholesale fats and oils,October,2003,2003,Lower bound of prediction interval,25.4
Wholesale fats and oils,October,2003,2003,Mid point of prediction interval,27.6
Wholesale fats and oils,October,2003,2003,Upper bound of prediction interval,30.0
Wholesale fats and oils,November,2003,2003,Lower bound of prediction interval,28.5
Wholesale fats and oils,July,2003,2003,Upper bound of prediction interval,36.8
Wholesale fats and oils,March,2003,2003,Mid point of prediction interval,24.8
Wholesale fats and oils,March,2003,2003,Lower bound of prediction interval,12.9
Wholesale fats and oils,February,2003,2003,Upper bound of prediction interval,42.3
Farm-level soybeans,July,2003,2003,Lower bound of prediction interval,10.2
Farm-level soybeans,July,2003,2003,Mid point of prediction interval,19.7
Farm-level soybeans,July,2003,2003,Upper bound of prediction interval,30.9
Farm-level soybeans,August,2003,2003,Lower bound of prediction interval,9.3
Farm-level soybeans,August,2003,2003,Mid point of prediction interval,16.3
Farm-level soybeans,August,2003,2003,Upper bound of prediction interval,24.5
Farm-level soybeans,September,2003,2003,Lower bound of prediction interval,8.7
Farm-level soybeans,September,2003,2003,Mid point of prediction interval,13.7
Farm-level soybeans,September,2003,2003,Upper bound of prediction interval,19.5
Farm-level soybeans,October,2003,2003,Lower bound of prediction interval,13.0
Farm-level soybeans,October,2003,2003,Mid point of prediction interval,16.8
Farm-level soybeans,October,2003,2003,Upper bound of prediction interval,21.1
Farm-level soybeans,November,2003,2003,Lower bound of prediction interval,19.8
Farm-level soybeans,November,2003,2003,Mid point of prediction interval,22.6
Farm-level soybeans,November,2003,2003,Upper bound of prediction interval,25.6
Farm-level soybeans,December,2003,2003,Lower bound of prediction interval,22.4
Farm-level soybeans,December,2003,2003,Mid point of prediction interval,23.8
Farm-level soybeans,December,2003,2003,Upper bound of prediction interval,25.2
Wholesale fats and oils,January,2003,2003,Lower bound of prediction interval,8.5
Wholesale fats and oils,January,2003,2003,Mid point of prediction interval,21.8
Wholesale fats and oils,January,2003,2003,Upper bound of prediction interval,37.1
Wholesale fats and oils,February,2003,2003,Lower bound of prediction interval,12.5
Wholesale fats and oils,February,2003,2003,Mid point of prediction interval,26.3
Wholesale fats and oils,November,2003,2003,Mid point of prediction interval,30.0
Farm-level vegetables,May,2003,2003,Lower bound of prediction interval,-14.3
Wholesale fats and oils,November,2003,2003,Upper bound of prediction interval,31.5
Wholesale fats and oils,December,2003,2003,Mid point of prediction interval,30.9
Farm-level fruits,September,2003,2003,Mid point of prediction interval,-10.9
Farm-level fruits,September,2003,2003,Upper bound of prediction interval,-5.0
Farm-level fruits,October,2003,2003,Lower bound of prediction interval,-14.5
Farm-level fruits,October,2003,2003,Mid point of prediction interval,-10.9
Farm-level fruits,October,2003,2003,Upper bound of prediction interval,-6.7
Farm-level fruits,November,2003,2003,Lower bound of prediction interval,-12.0
Farm-level fruits,November,2003,2003,Mid point of prediction interval,-9.6
Farm-level fruits,November,2003,2003,Upper bound of prediction interval,-6.8
Farm-level fruits,December,2003,2003,Lower bound of prediction interval,-10.1
Farm-level fruits,December,2003,2003,Mid point of prediction interval,-8.8
Farm-level fruits,September,2003,2003,Lower bound of prediction interval,-15.8
Farm-level fruits,December,2003,2003,Upper bound of prediction interval,-7.2
Farm-level vegetables,January,2003,2003,Mid point of prediction interval,-6.7
Farm-level vegetables,January,2003,2003,Upper bound of prediction interval,13.6
Farm-level vegetables,February,2003,2003,Lower bound of prediction interval,-20.0
Farm-level vegetables,February,2003,2003,Mid point of prediction interval,-4.3
Farm-level vegetables,February,2003,2003,Upper bound of prediction interval,15.2
Farm-level vegetables,March,2003,2003,Lower bound of prediction interval,-20.7
Farm-level vegetables,March,2003,2003,Mid point of prediction interval,-6.8
Farm-level vegetables,March,2003,2003,Upper bound of prediction interval,10.8
Farm-level vegetables,April,2003,2003,Lower bound of prediction interval,-17.8
Farm-level vegetables,April,2003,2003,Mid point of prediction interval,-4.3
Farm-level vegetables,January,2003,2003,Lower bound of prediction interval,-22.9
Farm-level fruits,August,2003,2003,Upper bound of prediction interval,-5.3
Farm-level fruits,August,2003,2003,Mid point of prediction interval,-12.7
Farm-level fruits,August,2003,2003,Lower bound of prediction interval,-18.9
Wholesale fats and oils,December,2003,2003,Upper bound of prediction interval,31.7
Farm-level fruits,January,2003,2003,Lower bound of prediction interval,-31.4
Farm-level fruits,January,2003,2003,Mid point of prediction interval,-12.5
Farm-level fruits,January,2003,2003,Upper bound of prediction interval,13.2
Farm-level fruits,February,2003,2003,Lower bound of prediction interval,-30.6
Farm-level fruits,February,2003,2003,Mid point of prediction interval,-13.9
Farm-level fruits,February,2003,2003,Upper bound of prediction interval,8.2
Farm-level fruits,March,2003,2003,Lower bound of prediction interval,-27.5
Farm-level fruits,March,2003,2003,Mid point of prediction interval,-12.6
Farm-level fruits,March,2003,2003,Upper bound of prediction interval,6.9
Farm-level fruits,April,2003,2003,Lower bound of prediction interval,-29.4
Farm-level fruits,April,2003,2003,Mid point of prediction interval,-17.0
Farm-level fruits,April,2003,2003,Upper bound of prediction interval,-1.3
Farm-level fruits,May,2003,2003,Lower bound of prediction interval,-27.4
Farm-level fruits,May,2003,2003,Mid point of prediction interval,-16.7
Farm-level fruits,May,2003,2003,Upper bound of prediction interval,-3.2
Farm-level fruits,June,2003,2003,Lower bound of prediction interval,-19.7
Farm-level fruits,June,2003,2003,Mid point of prediction interval,-9.6
Farm-level fruits,June,2003,2003,Upper bound of prediction interval,2.8
Farm-level fruits,July,2003,2003,Lower bound of prediction interval,-20.1
Farm-level fruits,July,2003,2003,Mid point of prediction interval,-12.2
Farm-level fruits,July,2003,2003,Upper bound of prediction interval,-2.6
Wholesale wheat flour,October,2003,2004,Lower bound of prediction interval,-14.7
Wholesale fats and oils,December,2003,2003,Lower bound of prediction interval,30.2
Wholesale wheat flour,September,2003,2004,Upper bound of prediction interval,16.9
Farm-level vegetables,August,2003,2004,Mid point of prediction interval,-0.9
Wholesale wheat flour,September,2003,2004,Lower bound of prediction interval,-17.5
Wholesale pork,September,2003,2004,Mid point of prediction interval,-2.0
Wholesale pork,September,2003,2004,Lower bound of prediction interval,-15.8
Wholesale pork,August,2003,2004,Upper bound of prediction interval,18.2
Wholesale pork,August,2003,2004,Mid point of prediction interval,0.9
Wholesale pork,August,2003,2004,Lower bound of prediction interval,-13.8
Wholesale pork,July,2003,2004,Upper bound of prediction interval,15.2
Wholesale pork,July,2003,2004,Mid point of prediction interval,-2.0
Wholesale pork,July,2003,2004,Lower bound of prediction interval,-16.7
Wholesale beef,December,2003,2004,Upper bound of prediction interval,31.5
Wholesale beef,December,2003,2004,Mid point of prediction interval,14.9
Wholesale beef,December,2003,2004,Lower bound of prediction interval,0.7
Wholesale beef,November,2003,2004,Upper bound of prediction interval,37.7
Wholesale beef,November,2003,2004,Mid point of prediction interval,18.6
Wholesale beef,November,2003,2004,Lower bound of prediction interval,3.1
Wholesale beef,October,2003,2004,Upper bound of prediction interval,22.9
Wholesale beef,October,2003,2004,Mid point of prediction interval,6.7
Wholesale beef,October,2003,2004,Lower bound of prediction interval,-7.4
Farm-level cattle,November,2003,2004,Mid point of prediction interval,29.1
Farm-level cattle,November,2003,2004,Upper bound of prediction interval,61.8
Farm-level cattle,December,2003,2004,Lower bound of prediction interval,-4.2
Farm-level cattle,December,2003,2004,Mid point of prediction interval,17.1
Farm-level cattle,December,2003,2004,Upper bound of prediction interval,43.4
Wholesale beef,July,2003,2004,Lower bound of prediction interval,-10.8
Wholesale pork,September,2003,2004,Upper bound of prediction interval,14.7
Wholesale beef,July,2003,2004,Mid point of prediction interval,5.0
Wholesale beef,August,2003,2004,Lower bound of prediction interval,-15.5
Wholesale beef,August,2003,2004,Mid point of prediction interval,-0.9
Wholesale beef,August,2003,2004,Upper bound of prediction interval,16.0
Wholesale beef,September,2003,2004,Lower bound of prediction interval,-11.2
